issue_id,when,action,what,user,milestone,assignee,comments,issuecreated_at,issueclosed_at,duration
12,2017-04-20T02:29:40Z,labeled,PPT/Report,user1,Project Report,user1,3,1485638571,1486504127,10.01800926
2,2017-04-20T02:16:54Z,labeled,invalid,user1,,user1,2,1484447210,1486503960,23.80497685
7,2017-04-20T02:30:04Z,labeled,invalid,user1,,user1,0,1484575566,1486503996,22.31979167
10,2017-04-20T02:28:07Z,labeled,Meeting,user1,,user2,2,1484933641,1486504028,18.17577546
11,2017-04-20T02:27:53Z,labeled,Meeting,user1,Paper link sharing by 9 pm ,user1,0,1485440079,1486504038,12.31434028
4,2017-04-20T02:22:31Z,labeled,wontfix,user1,,user1,0,1484519810,1486503974,22.96486111
22,2017-04-20T02:12:35Z,labeled,Testing,user1,,user1,0,1487092925,1491942899,56.13395833
6,2017-04-20T02:26:06Z,labeled,Topics,user1,,user1,3,1484575213,1486503989,22.3237963
19,2017-04-20T02:14:11Z,labeled,Working,user1,,user1,2,1487092656,1489515017,28.03658565
25,2017-04-20T02:06:39Z,labeled,question,user1,,,0,1488381096,1490918602,29.36928241
9,2017-04-20T02:28:33Z,labeled,Topics,user1,,user3,12,1484882215,1486504005,18.77071759
20,2017-04-20T02:13:14Z,labeled,help wanted,user1,,user1,1,1487092674,1489515056,28.0368287
24,2017-04-20T02:10:53Z,labeled,bug,user1,,,1,1488215720,1489515086,15.03895833
13,2017-04-20T02:29:27Z,labeled,PPT/Report,user1,20 20 Project Presentation,user1,4,1485704833,1486504136,9.25119213
21,2017-04-20T02:12:55Z,labeled,enhancement,user1,,user1,1,1487092786,1489515064,28.035625
15,2017-04-20T02:27:22Z,labeled,Meeting,user1,Brain Storming of ideas and finalizing the three ways ,user1,0,1486342272,1486396943,0.632766204
5,2017-04-20T02:25:04Z,labeled,Literature,user1,,user1,0,1484520192,1486503982,22.96053241
23,2017-04-20T02:08:44Z,labeled,enhancement,user1,,,1,1488206216,1489515072,15.1487963
8,2017-04-20T02:29:10Z,labeled,Meeting,user1,,user1,0,1484575900,1484933574,4.13974537
16,2017-04-20T02:16:21Z,labeled,Working,user1,Completion of other 2 methods,user1,0,1486567736,1488206230,18.96405093
3,2017-04-20T02:23:00Z,labeled,help wanted,user1,,user1,2,1484519600,1486503967,22.96721065
14,2017-04-20T02:27:35Z,labeled,Meeting,user1,,user1,4,1485705647,1487090748,16.03126157
17,2017-02-08T15:38:42Z,labeled,help wanted,user1,Completion of the Interface and implementation of 1st method,user1,3,1486568322,1487465341,10.38216435
18,2017-02-14T17:18:18Z,labeled,help wanted,user1,,user1,1,1487092549,1489515047,28.0381713
1,2017-01-15T22:37:51Z,labeled,question,user1,,user3,0,1484446660,1486503953,23.81126157
