issue_id,when,action,what,user,milestone,assignee,comments,issuecreated_at,issueclosed_at,duration
33,2017-02-23T01:32:40Z,labeled,approach2,user2,Approach 2,user1,0,1487813560,1490983215,36.68582176
33,2017-02-23T01:32:40Z,labeled,enhancement,user2,Approach 2,user1,0,1487813560,1490983215,36.68582176
33,2017-03-30T20:49:09Z,labeled,wontfix,user1,Approach 2,user1,0,1487813560,1490983215,36.68582176
45,2017-03-16T20:40:21Z,labeled,approach1,user2,March Milestone (Due April 7),user2,0,1489696821,1492543614,32.94899306
45,2017-03-16T20:40:21Z,labeled,approach3,user2,March Milestone (Due April 7),user2,0,1489696821,1492543614,32.94899306
45,2017-03-16T20:40:21Z,labeled,approach2,user2,March Milestone (Due April 7),user2,0,1489696821,1492543614,32.94899306
46,2017-03-20T15:10:31Z,labeled,Conversation,user3,March Milestone (Due April 7),user2,5,1490022631,1490983185,11.11752315
41,2017-02-28T20:04:02Z,labeled,approach2,user2,Approach 2,user1,1,1488312242,1490906538,30.02657407
41,2017-02-28T20:04:02Z,labeled,bug,user2,Approach 2,user1,1,1488312242,1490906538,30.02657407
41,2017-03-13T23:35:59Z,labeled,enhancement,user1,Approach 2,user1,1,1488312242,1490906538,30.02657407
41,2017-03-13T23:35:59Z,unlabeled,bug,user1,Approach 2,user1,1,1488312242,1490906538,30.02657407
41,2017-03-30T20:42:15Z,labeled,wontfix,user1,Approach 2,user1,1,1488312242,1490906538,30.02657407
47,2017-03-30T21:22:52Z,labeled,Conversation,user2,March Milestone (Due April 7),user2,12,1490908972,1491940277,11.93640046
44,2017-03-16T20:39:59Z,labeled,approach3,user2,March Milestone (Due April 7),user2,0,1489696799,1491940253,25.96590278
44,2017-03-16T20:39:59Z,labeled,approach1,user2,March Milestone (Due April 7),user2,0,1489696799,1491940253,25.96590278
44,2017-03-16T20:39:59Z,labeled,approach2,user2,March Milestone (Due April 7),user2,0,1489696799,1491940253,25.96590278
42,2017-02-28T20:09:07Z,labeled,bug,user2,Approach 2,user3,1,1488312547,1488312747,0.002314815
42,2017-02-28T20:09:07Z,labeled,approach2,user2,Approach 2,user3,1,1488312547,1488312747,0.002314815
39,2017-02-23T21:59:17Z,labeled,approach3,user2,Approach 2,user2,0,1487887157,1491514144,41.9790162
39,2017-02-23T21:59:17Z,labeled,approach2,user2,Approach 2,user2,0,1487887157,1491514144,41.9790162
39,2017-02-23T21:59:17Z,labeled,approach1,user2,Approach 2,user2,0,1487887157,1491514144,41.9790162
40,2017-02-25T06:55:35Z,labeled,approach3,user3,,user4,1,1488005734,1490906881,33.57809028
38,2017-02-23T21:54:05Z,labeled,approach3,user2,Approach 2,user2,4,1487886845,1490906931,34.95469907
38,2017-02-23T21:54:05Z,labeled,approach1,user2,Approach 2,user2,4,1487886845,1490906931,34.95469907
38,2017-02-23T21:54:05Z,labeled,approach2,user2,Approach 2,user2,4,1487886845,1490906931,34.95469907
37,2017-02-23T16:05:35Z,labeled,Conversation,user1,Coding and implementation,user1,2,1487865935,1487873141,0.083402778
37,2017-02-23T16:05:35Z,labeled,approach1,user1,Coding and implementation,user1,2,1487865935,1487873141,0.083402778
36,2017-02-23T03:34:23Z,labeled,approach3,user3,,user4,5,1487820862,1488005078,2.13212963
36,2017-02-23T03:34:23Z,labeled,core,user3,,user4,5,1487820862,1488005078,2.13212963
36,2017-02-23T03:34:23Z,labeled,medium,user3,,user4,5,1487820862,1488005078,2.13212963
36,2017-02-23T03:35:06Z,unlabeled,core,user3,,user4,5,1487820862,1488005078,2.13212963
34,2017-02-23T01:36:11Z,labeled,approach2,user2,Approach 2,user1,7,1487813771,1488264349,5.215023148
34,2017-02-23T01:36:11Z,labeled,bug,user2,Approach 2,user1,7,1487813771,1488264349,5.215023148
35,2017-02-23T03:23:03Z,labeled,core,user3,,user4,1,1487820183,1487826965,0.07849537
35,2017-02-23T03:23:03Z,labeled,medium,user3,,user4,1,1487820183,1487826965,0.07849537
35,2017-02-23T03:23:03Z,labeled,approach3,user3,,user4,1,1487820183,1487826965,0.07849537
35,2017-02-23T03:34:53Z,unlabeled,core,user3,,user4,1,1487820183,1487826965,0.07849537
28,2017-02-22T03:52:21Z,labeled,bug,user2,Approach 2,user2,0,1487735541,1487813916,0.907118056
28,2017-02-22T03:52:21Z,labeled,approach2,user2,Approach 2,user2,0,1487735541,1487813916,0.907118056
27,2017-02-22T03:51:34Z,labeled,bug,user2,Approach 2,user2,1,1487735493,1487813393,0.90162037
27,2017-02-22T03:51:34Z,labeled,approach2,user2,Approach 2,user2,1,1487735493,1487813393,0.90162037
31,2017-02-22T20:04:32Z,labeled,bug,user1,Coding and implementation,user3,2,1487793872,1490906403,36.02466435
31,2017-02-22T20:04:47Z,labeled,approach1,user1,Coding and implementation,user3,2,1487793872,1490906403,36.02466435
29,2017-02-22T14:04:00Z,labeled,bug,user2,Approach 2,user2,1,1487772240,1488332422,6.483587963
29,2017-02-22T14:04:00Z,labeled,approach2,user2,Approach 2,user2,1,1487772240,1488332422,6.483587963
32,2017-02-22T20:05:45Z,labeled,approach1,user1,Coding and implementation,user3,0,1487793945,1490906483,36.02474537
32,2017-02-22T20:05:45Z,labeled,bug,user1,Coding and implementation,user3,0,1487793945,1490906483,36.02474537
30,2017-02-22T20:02:55Z,labeled,approach1,user1,Coding and implementation,user3,1,1487793775,1487873172,0.918946759
30,2017-02-22T20:04:57Z,labeled,bug,user1,Coding and implementation,user3,1,1487793775,1487873172,0.918946759
26,2017-02-22T03:50:23Z,labeled,enhancement,user2,Approach 2,user2,1,1487735423,1488311571,6.66837963
26,2017-02-22T03:50:23Z,labeled,approach2,user2,Approach 2,user2,1,1487735423,1488311571,6.66837963
23,2017-02-22T01:37:28Z,labeled,approach2,user2,Approach 2,user2,3,1487727448,1488306280,6.699444444
23,2017-02-22T01:46:38Z,labeled,enhancement,user2,Approach 2,user2,3,1487727448,1488306280,6.699444444
24,2017-02-22T01:47:13Z,labeled,approach2,user2,Approach 2,user1,4,1487728033,1490906353,36.78611111
24,2017-02-22T01:47:13Z,labeled,enhancement,user2,Approach 2,user1,4,1487728033,1490906353,36.78611111
20,2017-02-22T00:53:09Z,labeled,approach2,user2,Approach 2,user2,1,1487724783,1487813963,1.032175926
20,2017-02-22T00:53:09Z,labeled,enhancement,user2,Approach 2,user2,1,1487724783,1487813963,1.032175926
25,2017-02-22T01:47:43Z,labeled,enhancement,user2,Approach 2,,1,1487728063,1487813807,0.992407407
25,2017-02-22T01:47:43Z,labeled,approach2,user2,Approach 2,,1,1487728063,1487813807,0.992407407
22,2017-02-22T01:37:04Z,labeled,enhancement,user2,Approach 2,user2,1,1487727424,1487813852,1.000324074
22,2017-02-22T01:37:04Z,labeled,approach2,user2,Approach 2,user2,1,1487727424,1487813852,1.000324074
21,2017-02-22T00:54:02Z,labeled,approach2,user2,Approach 2,user2,1,1487724842,1487813831,1.029965278
21,2017-02-22T00:54:02Z,labeled,enhancement,user2,Approach 2,user2,1,1487724842,1487813831,1.029965278
19,2017-02-22T00:51:47Z,labeled,approach2,user2,Approach 2,user2,1,1487724695,1487813726,1.030451389
19,2017-02-22T00:51:47Z,labeled,enhancement,user2,Approach 2,user2,1,1487724695,1487813726,1.030451389
14,2017-02-07T17:53:09Z,labeled,approach2,user1,Finalize design for all approaches,user2,1,1486488301,1487174632,7.943645833
14,2017-02-07T17:57:45Z,labeled,medium,user1,Finalize design for all approaches,user2,1,1486488301,1487174632,7.943645833
10,2017-02-07T17:54:54Z,labeled,Conversation,user1,,user2,8,1486418388,1486578765,1.856215278
18,2017-02-22T00:49:27Z,labeled,enhancement,user2,Approach 2,user2,1,1487724567,1487813709,1.031736111
18,2017-02-22T00:49:27Z,labeled,approach2,user2,Approach 2,user2,1,1487724567,1487813709,1.031736111
16,2017-02-07T18:00:34Z,labeled,medium,user1,Core implementation,,0,1486490434,1487813665,15.31517361
16,2017-02-07T18:00:34Z,labeled,core,user1,Core implementation,,0,1486490434,1487813665,15.31517361
