issue_id,when,action,what,user,milestone,assignee,comments,issuecreated_at,issueclosed_at,duration
28,2017-04-19T02:38:54Z,labeled,requirement,user1,Fingerprint authentication complete,user1,1,1487261694,1487305436,0.506273148
30,2017-04-19T02:38:41Z,labeled,requirement,user1,,user1,1,1487261705,1487268445,0.078009259
63,2017-04-19T02:37:44Z,labeled,feedback,user1,,,0,1488379860,1488654165,3.174826389
31,2017-04-19T02:38:34Z,labeled,requirement,user1,Fingerprint authentication complete,user1,1,1487271657,1487274291,0.030486111
87,2017-03-20T18:08:55Z,labeled,mediumpriority,user1,v4,user1,5,1490033335,1492114453,24.08701389
87,2017-03-20T18:08:55Z,labeled,question,user1,v4,user1,5,1490033335,1492114453,24.08701389
29,2017-04-19T02:38:48Z,labeled,requirement,user1,Magic link setup complete,user1,1,1487261700,1487305207,0.503553241
62,2017-04-19T02:38:21Z,labeled,requirement,user1,,,1,1487902000,1488380538,5.538634259
85,2017-03-09T03:22:10Z,labeled,bug,user2,v3,user1,3,1489029725,1492114420,35.70248843
82,2017-03-08T23:29:49Z,labeled,urgent,user2,v3,user1,1,1489015789,1489029573,0.159537037
82,2017-03-08T23:29:49Z,labeled,UI,user2,v3,user1,1,1489015789,1489029573,0.159537037
84,2017-03-09T00:27:45Z,labeled,mediumpriority,user2,v3,user1,3,1489019265,1492114473,35.82416667
83,2017-03-08T23:32:58Z,labeled,bug,user2,v3,user1,0,1489015978,1489021322,0.061851852
83,2017-03-08T23:32:58Z,labeled,urgent,user2,v3,user1,0,1489015978,1489021322,0.061851852
79,2017-03-08T03:58:29Z,labeled,enhancement,user2,,user1,2,1488945509,1492114490,36.67802083
79,2017-03-08T03:58:29Z,labeled,mediumpriority,user2,,user1,2,1488945509,1492114490,36.67802083
50,2017-02-20T07:19:22Z,labeled,bug,user2,v3,user1,5,1487575162,1492114509,52.53873843
50,2017-02-20T07:19:22Z,labeled,mediumpriority,user2,v3,user1,5,1487575162,1492114509,52.53873843
50,2017-02-23T18:37:49Z,labeled,lowpriority,user3,v3,user1,5,1487575162,1492114509,52.53873843
50,2017-02-23T18:38:05Z,unlabeled,mediumpriority,user3,v3,user1,5,1487575162,1492114509,52.53873843
50,2017-03-08T19:51:02Z,unlabeled,lowpriority,user2,v3,user1,5,1487575162,1492114509,52.53873843
50,2017-03-08T19:51:02Z,labeled,mediumpriority,user2,v3,user1,5,1487575162,1492114509,52.53873843
71,2017-03-05T20:27:39Z,labeled,enhancement,user2,,user1,1,1488745659,1488940668,2.257048611
71,2017-03-05T20:27:39Z,labeled,lowpriority,user2,,user1,1,1488745659,1488940668,2.257048611
65,2017-03-04T19:43:35Z,labeled,mediumpriority,user2,,user1,11,1488656615,1488733568,0.890659722
65,2017-03-04T19:43:35Z,labeled,enhancement,user2,,user1,11,1488656615,1488733568,0.890659722
69,2017-03-05T20:18:42Z,labeled,mediumpriority,user2,,user1,1,1488734067,1488745114,0.127858796
60,2017-02-23T21:37:39Z,labeled,mediumpriority,user2,v3,user1,1,1487885859,1489032038,13.26596065
60,2017-02-23T21:37:39Z,labeled,bug,user2,v3,user1,1,1487885859,1489032038,13.26596065
60,2017-02-23T21:37:39Z,labeled,VoiceDNA,user2,v3,user1,1,1487885859,1489032038,13.26596065
64,2017-03-04T16:49:42Z,labeled,lowpriority,user2,,,0,1488646182,1488734081,1.017349537
64,2017-03-04T16:49:42Z,labeled,enhancement,user2,,,0,1488646182,1488734081,1.017349537
61,2017-03-04T16:50:17Z,labeled,urgent,user2,,user1,6,1487887164,1488998823,12.86642361
59,2017-02-23T21:35:49Z,labeled,urgent,user2,Demo day,user1,1,1487885749,1488925415,12.0331713
59,2017-02-23T21:35:49Z,labeled,bug,user2,Demo day,user1,1,1487885749,1488925415,12.0331713
48,2017-02-18T21:57:31Z,labeled,lowpriority,user2,Testing and debugging,user1,3,1487455029,1488927707,17.04488426
48,2017-02-18T21:57:31Z,labeled,enhancement,user2,Testing and debugging,user1,3,1487455029,1488927707,17.04488426
44,2017-02-18T15:36:46Z,labeled,mediumpriority,user2,v3,user1,2,1487432183,1489025952,18.44640046
44,2017-02-18T15:36:46Z,labeled,bug,user2,v3,user1,2,1487432183,1489025952,18.44640046
47,2017-02-18T19:28:37Z,labeled,bug,user2,Testing and debugging,user1,2,1487446117,1487881287,5.036689815
47,2017-02-18T19:28:37Z,labeled,mediumpriority,user2,Testing and debugging,user1,2,1487446117,1487881287,5.036689815
47,2017-02-18T19:28:37Z,labeled,UI,user2,Testing and debugging,user1,2,1487446117,1487881287,5.036689815
46,2017-02-18T19:23:39Z,labeled,enhancement,user2,Voice recognition setup complete,user1,11,1487445819,1487612455,1.928657407
46,2017-02-18T19:23:39Z,labeled,question,user2,Voice recognition setup complete,user1,11,1487445819,1487612455,1.928657407
46,2017-02-18T19:23:39Z,labeled,lowpriority,user2,Voice recognition setup complete,user1,11,1487445819,1487612455,1.928657407
45,2017-02-18T15:39:32Z,labeled,VoiceDNA,user2,Voice recognition setup complete,user1,2,1487432372,1487442718,0.11974537
45,2017-02-18T15:39:55Z,labeled,urgent,user2,Voice recognition setup complete,user1,2,1487432372,1487442718,0.11974537
9,2017-02-08T16:48:30Z,labeled,Fingerprint,user1,Testing and debugging,user1,0,1486572501,1487882737,15.16476852
9,2017-02-08T16:48:35Z,labeled,enhancement,user1,Testing and debugging,user1,0,1486572501,1487882737,15.16476852
9,2017-02-17T04:41:05Z,labeled,lowpriority,user2,Testing and debugging,user1,0,1486572501,1487882737,15.16476852
10,2017-02-08T16:49:03Z,labeled,enhancement,user1,Testing and debugging,user1,0,1486572543,1487882728,15.16417824
10,2017-02-08T16:49:03Z,labeled,MagicLink,user1,Testing and debugging,user1,0,1486572543,1487882728,15.16417824
10,2017-02-17T04:40:54Z,labeled,lowpriority,user2,Testing and debugging,user1,0,1486572543,1487882728,15.16417824
11,2017-02-08T16:49:36Z,labeled,enhancement,user1,Testing and debugging,user1,0,1486572576,1487882715,15.16364583
11,2017-02-08T16:49:36Z,labeled,VoiceDNA,user1,Testing and debugging,user1,0,1486572576,1487882715,15.16364583
11,2017-02-17T04:40:43Z,labeled,lowpriority,user2,Testing and debugging,user1,0,1486572576,1487882715,15.16364583
35,2017-02-17T04:35:14Z,labeled,urgent,user2,Magic link setup complete,user1,1,1487305619,1487341191,0.411712963
37,2017-02-17T04:33:24Z,labeled,UI,user2,Testing and debugging,user1,3,1487305715,1488927664,18.77255787
37,2017-02-17T04:33:24Z,labeled,lowpriority,user2,Testing and debugging,user1,3,1487305715,1488927664,18.77255787
37,2017-02-17T04:33:24Z,labeled,enhancement,user2,Testing and debugging,user1,3,1487305715,1488927664,18.77255787
33,2017-02-17T04:35:35Z,labeled,urgent,user2,Fingerprint authentication complete,user1,1,1487305609,1487524067,2.528449074
38,2017-02-17T04:30:17Z,labeled,lowpriority,user2,Testing and debugging,user1,0,1487305721,1488927680,18.77267361
38,2017-02-17T04:30:17Z,labeled,enhancement,user2,Testing and debugging,user1,0,1487305721,1488927680,18.77267361
36,2017-02-17T04:34:27Z,labeled,urgent,user2,Magic link setup complete,user1,2,1487305623,1487612902,3.556469907
34,2017-02-17T04:36:55Z,labeled,urgent,user2,Fingerprint authentication complete,user1,1,1487305613,1487446176,1.626886574
34,2017-02-17T04:39:28Z,labeled,UI,user2,Fingerprint authentication complete,user1,1,1487305613,1487446176,1.626886574
